centerX,centerY,centerZ,radius,diameter,height,points
-1.8922000565796253,-2.69389009475708,24.699758035573716,0.08149230173195843,0.16298460346391686,5.306300163269043,1786
-4.122676844746962,-2.702850103378296,24.934896367851735,0.09810109522560413,0.19620219045120826,5.505959987640381,1086
-2.1663978760143294,-2.6292600631713867,27.304183145848217,0.07906025289835877,0.15812050579671755,7.518670082092285,122
0.21892611913875726,-2.6381399631500244,27.367438442960264,0.08980357755350327,0.17960715510700653,4.458209991455078,141
-2.913839839290574,-1.8139499425888062,-7.617985789854318,0.11969544017148451,0.23939088034296901,4.491759896278381,700
-0.13627178577625898,-2.5187199115753174,-7.287337909318859,0.1852353859455711,0.3704707718911422,5.027969837188721,6537
2.5955353208167935,-2.3831400871276855,-7.204502818934916,0.15695736276555877,0.31391472553111754,4.80348014831543,3427
2.1089817475992305,-2.5913400650024414,-3.738266343335179,0.09120051511148573,0.18240103022297147,5.621809959411621,1974
4.002233894250679,-2.2582099437713623,-0.5516377347991929,0.14606576356593431,0.29213152713186863,6.33502984046936,547
-4.281888876744375,-2.726289987564087,2.145455552465721,0.09567132878083266,0.19134265756166532,7.598719835281372,456
1.5501519254434442,-2.4379799365997314,-0.4078066055980074,0.1305163342213434,0.2610326684426868,5.96818995475769,3220
2.219837676325014,-2.651289939880371,11.678587479981974,0.14910742197225746,0.2982148439445149,7.003669738769531,608
-3.6946216382901866,-2.661250114440918,-0.9164612932742451,0.12052450065403904,0.24104900130807808,6.780920028686523,637
0.1815857463340933,-2.7962799072265625,8.89465710682109,0.18460062364780797,0.36920124729561593,7.824160099029541,4133
-1.9447835356479857,-2.851840019226074,5.300037597702491,0.1831030418210609,0.3662060836421218,8.15112018585205,3853
-2.20479334785243,-2.763279914855957,8.444297474897276,0.11530904778968096,0.23061809557936191,8.856770038604736,3546
-6.689855302526439,-2.797329902648926,24.70065254176285,0.08063321254707427,0.16126642509414854,11.942549705505371,521
0.7674320489368966,-2.71235990524292,5.372504603943349,0.073791390751393,0.147582781502786,6.504429817199707,1285
-2.496186507583573,-2.76134991645813,11.332504685208159,0.07565255243154768,0.15130510486309537,6.427160024642944,2012
-0.9341051034162291,-2.734100103378296,14.467212558411005,0.16440064813923325,0.3288012962784665,9.64857029914856,3608
-3.966766186964321,-2.6650500297546387,21.913553563303246,0.11143843925547463,0.22287687851094926,5.424350023269653,594
-4.960151865100457,-2.9413399696350098,8.44196697309477,0.07705971807734249,0.15411943615468499,5.781980037689209,128
1.3736386997677528,-2.4144999980926514,17.42462545019704,0.09707128551238602,0.19414257102477203,5.182679891586304,175
0.5280961654829639,-2.233520030975342,24.66303261457516,0.08548154835612937,0.17096309671225873,5.640079975128174,184
1.7287520381027122,-2.765130043029785,14.76346264498476,0.08461918772851007,0.16923837545702014,3.837350010871887,170
-3.1796515690766256,-2.8252899646759033,16.835180090241472,0.10553001915619876,0.21106003831239753,7.663100004196167,2724
-1.3178716840651958,-2.505350112915039,19.771715078465572,0.12798326965712728,0.25596653931425456,5.352610111236572,2585
-3.6598576000886,-2.796070098876953,19.865475112985436,0.09089290996146064,0.18178581992292128,4.772500157356262,2140
-4.642506159705633,-2.898750066757202,5.453421368383532,0.07645036691577645,0.1529007338315529,6.984190225601196,358
-5.226971774152915,-2.8501200675964355,11.16046788903979,0.07566362029270526,0.15132724058541053,5.243100166320801,161
